update,epoch,sample,state_max_abs,state_max_ulp,logit_abs,first_numerical,material_divergence
84500,1689,49,2.31683969,2117547048,0.0339446068,0,1
84750,1694,49,2.31136537,2117360381,5.27723789,0,1
85000,1699,49,2.32968283,2117114022,0.799639463,0,1
85250,1704,49,2.30037999,2114192184,3.2077322,0,1
85500,1709,49,2.59554887,2108738022,7.94723463,0,1
85750,1714,49,2.62343001,2109194655,0.884949684,0,1
86000,1719,49,2.67887521,2109366746,9.73137093,0,1
86250,1724,49,2.72390127,2109683512,5.8482976,0,1
86500,1729,49,2.77084017,2109497620,1.13349962,0,1
86750,1734,49,2.7789402,2109984054,0.882538795,0,1
87000,1739,49,2.78562355,2109934066,1.24135685,0,1
87250,1744,49,2.85607195,2110760506,3.93681669,0,1
87500,1749,49,2.80645037,2110617555,5.38289022,0,1
87750,1754,49,2.84801817,2110663654,0.96155262,0,1
88000,1759,49,2.88010454,2110719812,8.99755192,0,1
88250,1764,49,2.85948658,2111154211,7.69611835,0,1
88500,1769,49,2.80380726,2111210931,0.8802104,0,1
88750,1774,49,2.84679341,2111148795,0.811237574,0,1
89000,1779,49,2.83202267,2111701652,1.29251528,0,1
89250,1784,49,2.83001828,2111497444,3.23131061,0,1
89500,1789,49,2.87570524,2111308488,3.51398563,0,1
89750,1794,49,2.89282322,2112252127,13.2839432,0,1
90000,1799,49,2.97465277,2112173408,6.74806023,0,1
90250,1804,49,2.93962383,2112379409,0.648149967,0,1
90500,1809,49,2.99710083,2112215414,2.62670946,0,1
90750,1814,49,2.97252083,2112154955,6.38178539,0,1
91000,1819,49,2.89294529,2112230124,7.37597466,0,1
91250,1824,49,2.94179416,2112619664,1.79462528,0,1
91500,1829,49,3.03968024,2112302093,3.24530602,0,1
91750,1834,49,3.00648189,2112484167,0.560581923,0,1
92000,1839,49,3.02929592,2113199512,1.70492744,0,1
92250,1844,49,3.09768438,2113647062,0.302555084,0,1
92500,1849,49,3.0692122,2113761207,2.61816359,0,1
92750,1854,49,2.97777915,2114105113,0.999857903,0,1
93000,1859,49,2.97273135,2114463232,0.822621346,0,1
93250,1864,49,3.07746077,2114091395,0.172179937,0,1
93500,1869,49,3.06672359,2114332428,16.0217228,0,1
93750,1874,49,3.10033178,2114750723,8.82074738,0,1
94000,1879,49,3.10829449,2114936037,1.81848526,0,1
94250,1884,49,3.13651991,2114930908,6.03094912,0,1
94500,1889,49,3.06318665,2115392812,2.05903053,0,1
94750,1894,49,3.14950013,2115441542,0.217428923,0,1
95000,1899,49,3.18874002,2115377313,0.102402449,0,1
95250,1904,49,3.19678783,2115603062,6.53946877,0,1
95500,1909,49,3.16042089,2115589842,1.15348029,0,1
95750,1914,49,3.15543509,2116148688,1.09037209,0,1
96000,1919,49,3.19838905,2122696723,0.0252028704,0,1
96250,1924,49,3.04985714,2125775387,1.07868075,0,1
96500,1929,49,2.73499393,2130063979,6.16913843,0,1
96750,1934,49,2.58451438,2130323905,6.16641998,0,1
97000,1939,49,2.84280229,2129496538,6.61961174,0,1
97250,1944,49,2.83289957,2129322607,4.64814901,0,1
97500,1949,49,3.02819419,2128999184,0.616382837,0,1
97750,1954,49,3.02235508,2128982486,0.989793062,0,1
98000,1959,49,3.02561879,2128984173,2.49688935,0,1
98250,1964,49,3.04907012,2128969505,3.46719265,0,1
98500,1969,49,3.04060483,2128984001,5.74360752,0,1
98750,1974,49,3.02602434,2129005323,0.0565369129,0,1
99000,1979,49,3.02694607,2129095142,4.67103481,0,1
99250,1984,49,3.02743602,2129205382,2.23421955,0,1
99500,1989,49,3.02905655,2129367989,0.225355625,0,1
99750,1994,49,3.0317347,2129489916,1.54268551,0,1
100000,1999,49,3.02524948,2129697224,3.82428145,0,1
100250,2004,49,3.03586221,2129825304,4.13831329,0,1
100500,2009,49,3.03653336,2129956730,0.0836794376,0,1
100750,2014,49,3.03558278,2130060826,3.23009253,0,1
101000,2019,49,3.03651977,2130126796,2.47617531,0,1
101250,2024,49,3.03694177,2130177251,3.54733324,0,1
101500,2029,49,3.03905201,2130272519,5.35058498,0,1
101750,2034,49,3.03679466,2130345966,0.621981621,0,1
102000,2039,49,3.00555921,2130481867,4.6346736,0,1
102250,2044,49,3.00491047,2132370383,3.06651497,0,1
102500,2049,49,2.97927809,2132060015,2.67176414,0,1
102750,2054,49,2.95265126,2131161935,4.40752172,0,1
103000,2059,49,2.94958687,2131239211,4.62959194,0,1
103250,2064,49,2.94844937,2131229919,3.71776199,0,1
103500,2069,49,2.94709587,2131199974,0.477311373,0,1
103750,2074,49,2.94251847,2131181854,5.98672676,0,1
104000,2079,49,2.93610263,2131185527,5.45884275,0,1
104250,2084,49,2.94595981,2131216775,0.689348698,0,1
104500,2089,49,2.93546128,2131218439,0.263932705,0,1
104750,2094,49,2.92921019,2131213833,6.53496838,0,1
105000,2099,49,2.92480898,2131280486,3.70592976,0,1
105250,2104,49,2.92131281,2131286745,3.75800943,0,1
105500,2109,49,2.91565323,2131253262,1.15304756,0,1
105750,2114,49,2.91047192,2131324149,0.012036562,0,1
106000,2119,49,2.9051466,2131361774,3.84988475,0,1
106250,2124,49,2.90781975,2131122693,0.530680895,0,1
106500,2129,49,2.89730287,2131160532,0.784860134,0,1
106750,2134,49,3.15749478,2140416203,1.93864799,0,1
107000,2139,49,3.15150094,2140365923,0.625894547,0,1
107250,2144,49,3.14651752,2140324119,2.47405767,0,1
107500,2149,49,3.13908482,2140261768,0.580023766,0,1
107750,2154,49,3.13126373,2140196162,0.629504204,0,1
108000,2159,49,3.11187625,2140033527,4.66374969,0,1
108250,2164,49,3.10111046,2139943217,0.143877268,0,1
108500,2169,49,3.09634137,2139903211,0.18108058,0,1
108750,2174,49,3.08667254,2139822103,0.0924851894,0,1
109000,2179,49,3.0748868,2139723236,1.3187592,0,1
109250,2184,49,3.06919861,2139675521,2.28574467,0,1
109500,2189,49,3.06155252,2139611381,0.248332262,0,1
109750,2194,49,3.04983282,2139513068,0.105903864,0,1
110000,2199,49,3.04008293,2139420517,0.558345795,0,1
110250,2204,49,3.0519774,2139367554,0.823189259,0,1
110500,2209,49,3.05675459,2139304216,3.05424881,0,1
110750,2214,49,3.07097626,2139251053,0.210816622,0,1
111000,2219,49,3.12494802,2139143955,0.639657974,0,1
111250,2224,49,3.17153525,2139052706,0.669374228,0,1
111500,2229,49,3.201051,2138971428,0.0204074383,0,1
111750,2234,49,3.20388818,2138847870,0.674217343,0,1
112000,2239,49,3.20321798,2138727747,1.32465076,0,1
112250,2244,49,3.19931293,2138652898,0.107211351,0,1
112500,2249,49,3.2075088,2138588822,3.05931139,0,1
112750,2254,49,3.21527076,2138551084,0.249984026,0,1
113000,2259,49,3.20666909,2138485551,1.44456816,0,1
113250,2264,49,3.20942044,2138438165,2.63223314,0,1
113500,2269,49,3.19689965,2138397372,5.85322762,0,1
113750,2274,49,3.20149422,2138364235,3.20038509,0,1
114000,2279,49,3.19968772,2138338495,4.95740986,0,1
114250,2284,49,3.19751215,2138336143,2.06336021,0,1
114500,2289,49,3.210747,2138360806,0.254617453,0,1
114750,2294,49,3.20670104,2138338245,0.575732708,0,1
115000,2299,49,3.19092298,2138322578,0.088092804,0,1
115250,2304,49,3.19028068,2138313003,7.13415337,0,1
115500,2309,49,3.20536637,2138294243,0.896547318,0,1
115750,2314,49,3.2002933,2138256518,0.757048845,0,1
116000,2319,49,3.18224549,2138266321,5.11511517,0,1
116250,2324,49,3.17146921,2138267908,6.21330261,0,1
116500,2329,49,3.17055011,2138284468,0.770524502,0,1
116750,2334,49,3.15468812,2138294175,4.45618534,0,1
117000,2339,49,3.14794612,2138284788,0.319843531,0,1
117250,2344,49,3.14295292,2138316493,8.20174217,0,1
117500,2349,49,3.14014554,2138347043,3.69264269,0,1
117750,2354,49,3.13511133,2138379509,3.80825043,0,1
118000,2359,49,3.13109994,2138401421,0.151400089,0,1
118250,2364,49,3.10622931,2138451523,8.06426525,0,1
118500,2369,49,3.10539079,2138490012,0.349250913,0,1
118750,2374,49,3.06777763,2138533334,4.17194223,0,1
